name_1,min_lyl,max_lyl,avg_pm2.5_2021,avg_lyl,range_lyl,total_population
Dolnośląskie,0.7,1.3,16.04911522423995,1.1,0.6000000000000001,2884098
Kujawsko-Pomorskie,0.9,1.3,16.25639375081533,1.1,0.4,2069710
Lubelskie,1,1.3,16.996633510547888,1.2,0.30000000000000004,2112129
Lubuskie,0.7,1.1,13.361809608051498,0.8,0.40000000000000013,1010694
Mazowieckie,1.1,1.5,17.605040591400115,1.2,0.3999999999999999,5344605
Małopolskie,1.3,2.1,23.114545475865413,1.8,0.8,3368589
Opolskie,1.2,1.5,18.56498483393618,1.3,0.30000000000000004,983116
Podkarpackie,0.9,1.4,16.897211801786128,1.2,0.4999999999999999,2114968
Podlaskie,0.8,1.2,15.560004893880949,1,0.3999999999999999,1176980
Pomorskie,0.6,1.1,13.938230819709698,0.9,0.5000000000000001,2304084
Warmińsko-Mazurskie,0.8,1.2,14.985810340562844,1,0.3999999999999999,1423056
Wielkopolskie,0.8,1.5,17.131865356122464,1.2,0.7,3466448
Zachodniopomorskie,0.4,0.8,10.472700527943793,0.5,0.4,1686922
Łódzkie,1.4,1.8,21.709804288890425,1.6,0.40000000000000013,2460310
Śląskie,1.5,2,22.94530091906315,1.8,0.5,4506328
Świętokrzyskie,1.2,1.6,19.271121264460156,1.4,0.40000000000000013,1244800
