name_1_country,tot_pop,avg_pm2.5_pop_weighted,gain_in_le
West Java(Indonesia),48681468,21.86086370901658,1.652364643483625
East Java(Indonesia),39023022,16.517710357173087,1.1287356150029626
Central Java(Indonesia),34299750,17.60134843968052,1.2349321470886911
Sumatera Utara(Indonesia),14383223,25.093014597289628,1.9691154305343836
Metropolitan Manila(Philippines),13279599,26.38987992082133,2.0962082322404902
Banten(Indonesia),12725753,24.13041085021295,1.8747802633208692
Jakarta Raya(Indonesia),10381564,29.939777426946268,2.4440981878407344
Bangkok Metropolis(Thailand),8995165,20.7964958449029,1.5480565928004841
Hồ Chí Minh(Vietnam),8702256,29.154797061553694,2.367170112032262
Sulawesi Selatan(Indonesia),8614478,12.267821619391285,0.7122465187003459
