Country,Region,"Population (in 100,000s)",PM2.5 concentration 2021 (in µg/m³),Life Expectancy Gains from reducing PM2.5 from 2021 Concentrations to the WHO Guideline of 5 µg/m³,Life Expectancy Gains from reducing PM2.5 from 2021 Concentrations by 30 percent
Cameroon,Hauts Plateaux,1.2,60.1,5.4,1.8
Cameroon,Koung Khi,1,58.6,5.2,1.7
Cameroon,Menoua,4.1,58.3,5.2,1.7
Cameroon,Bamboutos,4.2,55.1,4.9,1.6
Cameroon,Mifi,4.3,55.1,4.9,1.6
Cameroon,Mezam,7.7,52.2,4.6,1.5
Cameroon,Ndé,1.4,51.1,4.5,1.5
Cameroon,Momo,2,50.8,4.5,1.5
Cameroon,Haut Nkam,2.1,50.7,4.5,1.5
Democratic Republic of the Congo,Mangai,0.1,49.7,4.4,1.5
Cameroon,Bui,4.7,49.5,4.4,1.5
Democratic Republic of the Congo,Luebo (ville),0.3,48,4.2,1.4
Democratic Republic of the Congo,Ilebo,5,47.5,4.2,1.4
Democratic Republic of the Congo,Oshwe,3.2,47.4,4.2,1.4
Cameroon,Ngo Ketunjia,2.7,47.1,4.1,1.4
Democratic Republic of the Congo,Nioki,0.7,47.1,4.1,1.4
Democratic Republic of the Congo,Ilebo (ville),1,47,4.1,1.4
Democratic Republic of the Congo,Kutu,7.4,47,4.1,1.4
Democratic Republic of the Congo,Luebo,3,46.9,4.1,1.4
Democratic Republic of the Congo,Yumbi,1.4,46.5,4.1,1.4
Democratic Republic of the Congo,Mweka,8.1,46,4,1.4
Republic of the Congo,Mossaka,0.5,45.9,4,1.3
Democratic Republic of the Congo,Demba,6.7,45.9,4,1.3
Democratic Republic of the Congo,Kikwit,11.2,45.8,4,1.3
Democratic Republic of the Congo,Inongo,4.8,45.6,4,1.3
Cameroon,Boyo,1.8,45.2,3.9,1.3
Democratic Republic of the Congo,Mushie,2.1,45.2,3.9,1.3
Democratic Republic of the Congo,Masi-Manimba (ville),0.4,45.2,3.9,1.3
Democratic Republic of the Congo,Dekese,2,45,3.9,1.3
Democratic Republic of the Congo,Bolobo (ville),0.8,44.9,3.9,1.3
Democratic Republic of the Congo,Bulungu,12.2,44.9,3.9,1.3
Republic of the Congo,Owando,0.9,44.7,3.9,1.3
Democratic Republic of the Congo,Lusambo,1.5,44.6,3.9,1.3
Nigeria,Sardauna,3.2,44.6,3.9,1.3
Democratic Republic of the Congo,Idiofa,16,44.4,3.9,1.3
Democratic Republic of the Congo,Dibaya-Lubwe,0.3,44.2,3.8,1.3
Democratic Republic of the Congo,Lodja (ville),0,44.2,3.8,1.3
Democratic Republic of the Congo,Bagata,6.9,44.1,3.8,1.3
Cameroon,Lebialem,1.7,44,3.8,1.3
Democratic Republic of the Congo,Masi-Manimba,14.2,43.9,3.8,1.3
Democratic Republic of the Congo,Bena-Dibele,0,43.9,3.8,1.3
Democratic Republic of the Congo,Lukolela,1.8,43.6,3.8,1.3
Democratic Republic of the Congo,Bandundu,2.1,43.6,3.8,1.3
Democratic Republic of the Congo,Bulungu (ville),0.7,43.5,3.8,1.3
Republic of the Congo,Impfondo,0.8,43.5,3.8,1.3
Democratic Republic of the Congo,Dimbelenge,4.8,43.3,3.8,1.3
Democratic Republic of the Congo,Kole,3.1,43.1,3.7,1.3
Democratic Republic of the Congo,Kiri,3.3,43.1,3.7,1.3
Democratic Republic of the Congo,Bomongo,1.7,43.1,3.7,1.3
Democratic Republic of the Congo,Inongo (ville),0.4,42.7,3.7,1.3
