name_1_country,tot_pop,avg_pm2.5_pop_weighted,gain_in_le,lyl_bucket,order_lyl_bucket
England (United Kingdom),55507471,8.860252767776071,0.37830477124205497,0.1 to < 0.5,2
Nordrhein-Westfalen (Germany),17195465,9.834206342777005,0.4737522215921465,0.1 to < 0.5,2
Istanbul (Turkey),14626240,18.671459203458987,1.3398030019389808,1 to < 2,4
Bayern (Germany),12625276,9.095539682459219,0.4013628888810034,0.1 to < 0.5,2
Île-de-France (France),12436997,10.832488566170756,0.5715838794847341,0.5 to < 1,3
Moscow City (Russia),11452757,16.60642085307494,1.1374292436013442,1 to < 2,4
Baden-Württemberg (Germany),10704490,8.391078589451716,0.3323257017662682,0.1 to < 0.5,2
Lombardia (Italy),10460185,18.642185868605573,1.336934215123346,1 to < 2,4
Moskva (Russia),8434515,14.701991822884896,0.9507951986427198,0.5 to < 1,3
Andalucía (Spain),8329570,7.594605151286321,0.2542713048260595,0.1 to < 0.5,2
